Symbol,Old_Price_May26,Verdict,Trading_Pair,Exchange
POL,0.195,CAUTIOUS HOLD,POL/USDT,Unknown
CAKE,1.422,CAUTIOUS HOLD,CAKE/USDT,Unknown
LPT,2.301,CAUTIOUS HOLD,LPT/USDT,Unknown
GT,22.5,CAUTIOUS HOLD,GT/USDT,Unknown
ORCA,1.392,CAUTIOUS HOLD,ORCA/USDT,Unknown
HNT,0.7775,CAUTIOUS HOLD,HNT/USDT,Unknown
TON,1.899,CAUTIOUS HOLD,TON/USDT,Unknown
GRT,0.0269,CAUTIOUS HOLD,GRT/USDT,Unknown
XRP,1.3603,CAUTIOUS HOLD,XRP/USDT,Unknown
VELO,0.003958,CAUTIOUS HOLD,VELO/USDT,Unknown
MAV,0.01343,CAUTIOUS HOLD,MAV/USDT,Unknown
VRTX,0.015,CAUTIOUS HOLD,VRTX/USDT,Unknown
ENA,0.101,CAUTIOUS HOLD,ENA/USDT,Unknown
TIA,0.4477,CAUTIOUS HOLD,TIA/USDT,Unknown
CHZ,0.0356,CAUTIOUS HOLD,CHZ/USDT,Unknown
COMP,19.61,WATCH,COMP/USDT,Unknown
PRIME,0.3747,WATCH,PRIME/USDT,Unknown
MNDE,0.04,WATCH,MNDE/USDT,Unknown
KCS,10.5,WATCH,KCS/USDT,Unknown
STX,0.2451,WATCH,STX/USDT,Unknown
WOO,0.0173,WATCH,WOO/USDT,Unknown
IMX,0.1708,WATCH,IMX/USDT,Unknown
XMR,118.7,WATCH,XMR/USDT,Unknown
STG,0.1662,WATCH,STG/USDT,Unknown
JOE,0.0416,WATCH,JOE/USDT,Unknown
APT,0.953,WATCH,APT/USDT,Unknown
GNS,0.524,WATCH,GNS/USDT,Unknown
QNT,79.68,WATCH,QNT/USDT,Unknown
S,0.04779,WATCH,S/USDT,Unknown
ONDO,0.4382,WATCH,ONDO/USDT,Unknown
CFG,0.2835,WATCH,CFG/USDT,Unknown
KAS,0.03389,WATCH,KAS/USDT,Unknown
ADA,0.246,WATCH,ADA/USDT,Unknown
HBAR,0.0871,WATCH,HBAR/USDT,Unknown
TNSR,0.0382,WATCH,TNSR/USDT,Unknown
GRASS,0.4042,WATCH,GRASS/USDT,Unknown
YFI,2513.0,WATCH,YFI/USDT,Unknown
FTM,0.6994,WATCH,FTM/USDT,Unknown
MATIC,0.32,WATCH,MATIC/USDT,Unknown
KNC,0.146,WATCH,KNC/USDT,Unknown
FET,0.2239,WATCH,FET/USDT,Unknown
DYDX,0.15407,WATCH,DYDX/USDT,Unknown
BICO,0.0265,WATCH,BICO/USDT,Unknown
IO,0.1527,WATCH,IO/USDT,Unknown
PERP,0.125,WATCH,PERP/USDT,Unknown
STORJ,0.0993,WATCH,STORJ/USDT,Unknown
ALCX,5.5,WATCH,ALCX/USDT,Unknown
OM,0.5,WATCH,OM/USDT,Unknown
XLM,0.1481,WATCH,XLM/USDT,Unknown
EIGEN,0.2012,WATCH,EIGEN/USDT,Unknown
PYTH,0.0402,WATCH,PYTH/USDT,Unknown
VELA,0.015,WATCH,VELA/USDT,Unknown
GEL,0.02,WATCH,GEL/USDT,Unknown
SSV,2.646,WATCH,SSV/USDT,Unknown
ZRO,1.3,WATCH,ZRO/USDT,Unknown
SLND,0.15,WATCH,SLND/USDT,Unknown
GTC,0.096,WATCH,GTC/USDT,Unknown
THETA,1.02,WATCH,THETA/USDT,Unknown
FXS,0.812,WATCH,FXS/USDT,Unknown
QUICK,0.00803,WATCH,QUICK/USDT,Unknown
RPL,1.71,WATCH,RPL/USDT,Unknown
PENGU,0.008907,WATCH,PENGU/USDT,Unknown
RDNT,0.00328,WATCH,RDNT/USDT,Unknown
RON,0.85,WATCH,RON/USDT,Unknown
MLN,1.98,WATCH,MLN/USDT,Unknown
RSR,0.001648,WATCH,RSR/USDT,Unknown
DOT,1.28,WATCH,DOT/USDT,Unknown
CVX,1.71,WATCH,CVX/USDT,Unknown
KLAY,0.1255,WATCH,KLAY/USDT,Unknown
KSM,4.74,WATCH,KSM/USDT,Unknown
SHDW,0.1,WATCH,SHDW/USDT,Unknown
LTC,53.37,WATCH,LTC/USDT,Unknown
SCROLL,0.32,WATCH,SCROLL/USDT,Unknown
ICP,2.669,WATCH,ICP/USDT,Unknown
CRO,0.06805,WATCH,CRO/USDT,Unknown
TRU,0.0023,WATCH,TRU/USDT,Unknown
APE,0.133,WATCH,APE/USDT,Unknown
FIL,0.984,WATCH,FIL/USDT,Unknown
ZEC,627.05,WATCH,ZEC/USDT,Unknown
VET,0.006685,WATCH,VET/USDT,Unknown
ATH,0.005995,WATCH,ATH/USDT,Unknown
ILV,4.26,WATCH,ILV/USDT,Unknown
MC,0.12,WATCH,MC/USDT,Unknown
DASH,43.69,WATCH,DASH/USDT,Unknown
GMT,0.01098,WATCH,GMT/USDT,Unknown
AUDIO,0.01932,WATCH,AUDIO/USDT,Unknown
SEI,0.06141,WATCH,SEI/USDT,Unknown
CORE,0.03634,WATCH,CORE/USDT,Unknown
BADGER,0.8,WATCH,BADGER/USDT,Unknown
USUAL,0.065,PASS,USUAL/USDT,Unknown
API3,0.3361,PASS,API3/USDT,Unknown
FLR,0.008221,PASS,FLR/USDT,Unknown
CFX,0.05863,PASS,CFX/USDT,Unknown
MINA,0.05692,PASS,MINA/USDT,Unknown
NMR,8.16,PASS,NMR/USDT,Unknown
HT,0.35,PASS,HT/USDT,Unknown
IOTX,0.00415,PASS,IOTX/USDT,Unknown
ALGO,0.1131,PASS,ALGO/USDT,Unknown
COTI,0.01226,PASS,COTI/USDT,Unknown
SKL,0.00607,PASS,SKL/USDT,Unknown
ACH,0.00643,PASS,ACH/USDT,Unknown
REQ,0.0638,PASS,REQ/USDT,Unknown
RAD,0.4,PASS,RAD/USDT,Unknown
ORDI,4.115,PASS,ORDI/USDT,Unknown
ANKR,0.0047,PASS,ANKR/USDT,Unknown
POOL,0.15,PASS,POOL/USDT,Unknown
FLUX,0.0795,PASS,FLUX/USDT,Unknown
CTSI,0.02927,PASS,CTSI/USDT,Unknown
ZK,0.01539,PASS,ZK/USDT,Unknown
BAL,0.967,PASS,BAL/USDT,Unknown
ALPACA,0.2244,PASS,ALPACA/USDT,Unknown
YGG,0.03785,PASS,YGG/USDT,Unknown
INV,15.0,PASS,INV/USDT,Unknown
POLYX,0.03,PASS,POLYX/USDT,Unknown
CELO,0.08277,PASS,CELO/USDT,Unknown
GLMR,0.013,PASS,GLMR/USDT,Unknown
RLC,0.4324,PASS,RLC/USDT,Unknown
MX,2.8,PASS,MX/USDT,Unknown
CKB,0.001429,PASS,CKB/USDT,Unknown
STRK,0.04272,PASS,STRK/USDT,Unknown
1INCH,0.0924,PASS,1INCH/USDT,Unknown
BONK,6.042e-06,PASS,BONK/USDT,Unknown
OSMO,0.062,PASS,OSMO/USDT,Unknown
PROP,0.35,PASS,PROP/USDT,Unknown
FARM,6.58,PASS,FARM/USDT,Unknown
MOBILE,0.0001106,PASS,MOBILE/USDT,Unknown
W,0.0122,PASS,W/USDT,Unknown
PEPE,3.658e-06,PASS,PEPE/USDT,Unknown
MBOX,0.0111,PASS,MBOX/USDT,Unknown
HOPR,0.03,PASS,HOPR/USDT,Unknown
SNT,0.0272,PASS,SNT/USDT,Unknown
ATOM,2.137,PASS,ATOM/USDT,Unknown
ALPHA,0.0097,PASS,ALPHA/USDT,Unknown
POND,0.00257,PASS,POND/USDT,Unknown
TRB,17.39,PASS,TRB/USDT,Unknown
CELR,0.002459,PASS,CELR/USDT,Unknown
NANO,0.35,PASS,NANO/USDT,Unknown
ETC,8.83,PASS,ETC/USDT,Unknown
WLD,0.2815,PASS,WLD/USDT,Unknown
DOGE,0.10315,PASS,DOGE/USDT,Unknown
ALICE,0.1,PASS,ALICE/USDT,Unknown
XTZ,0.348,PASS,XTZ/USDT,Unknown
FLOKI,2.929e-05,PASS,FLOKI/USDT,Unknown
WIF,0.1939,PASS,WIF/USDT,Unknown
PEAQ,0.004,PASS,PEAQ/USDT,Unknown
HIGH,0.162,PASS,HIGH/USDT,Unknown
SXP,0.0022,PASS,SXP/USDT,Unknown
DENT,3.8e-05,PASS,DENT/USDT,Unknown
BLAST,0.0004682,PASS,BLAST/USDT,Unknown
LEVER,0.000175,PASS,LEVER/USDT,Unknown
NOS,0.08,PASS,NOS/USDT,Unknown
GOG,0.02,PASS,GOG/USDT,Unknown
AGLD,0.23,PASS,AGLD/USDT,Unknown
CANTO,0.01,PASS,CANTO/USDT,Unknown
EGLD,4.05,PASS,EGLD/USDT,Unknown
ROSE,0.0102,PASS,ROSE/USDT,Unknown
BLUR,0.0221,PASS,BLUR/USDT,Unknown
FORTH,0.237,PASS,FORTH/USDT,Unknown
MASK,0.467,PASS,MASK/USDT,Unknown
BOND,2.152,PASS,BOND/USDT,Unknown
WAXP,0.00618,PASS,WAXP/USDT,Unknown
KAVA,0.06,PASS,KAVA/USDT,Unknown
PRCL,0.02,PASS,PRCL/USDT,Unknown
FLOW,0.0351,PASS,FLOW/USDT,Unknown
LRC,0.01879,PASS,LRC/USDT,Unknown
IOTA,0.0581,PASS,IOTA/USDT,Unknown
IDEX,0.003,PASS,IDEX/USDT,Unknown
MANTA,0.08065,PASS,MANTA/USDT,Unknown
AXS,1.165,PASS,AXS/USDT,Unknown
BTT,5e-07,PASS,BTT/USDT,Unknown
MCB,0.1,PASS,MCB/USDT,Unknown
SUSHI,0.2057,PASS,SUSHI/USDT,Unknown
RVN,0.00541,PASS,RVN/USDT,Unknown
NOT,0.00485,PASS,NOT/USDT,Unknown
BAND,0.212,PASS,BAND/USDT,Unknown
POPCAT,0.05706,PASS,POPCAT/USDT,Unknown
MODE,0.011,PASS,MODE/USDT,Unknown
SHIB,1.35e-05,PASS,SHIB/USDT,Unknown
NEO,2.899,PASS,NEO/USDT,Unknown
RBN,0.065,PASS,RBN/USDT,Unknown
SAND,0.07233,PASS,SAND/USDT,Unknown
SUPER,0.1151,PASS,SUPER/USDT,Unknown
MOVE,0.01604,PASS,MOVE/USDT,Unknown
JASMY,0.005534,PASS,JASMY/USDT,Unknown
MANA,0.0879,PASS,MANA/USDT,Unknown
ZIL,0.00401,PASS,ZIL/USDT,Unknown
SPELL,0.0001598,PASS,SPELL/USDT,Unknown
DOGS,0.000485,PASS,DOGS/USDT,Unknown
QTUM,0.926,PASS,QTUM/USDT,Unknown
MEME,0.0062,PASS,MEME/USDT,Unknown
NEIRO,0.00062,PASS,NEIRO/USDT,Unknown
GALA,0.003285,PASS,GALA/USDT,Unknown
KDA,0.006,PASS,KDA/USDT,Unknown
ONE,0.00203,PASS,ONE/USDT,Unknown
